Acronym,Year,SampleStartYear,SampleEndYear,is_start,is_end,is_sharpe,is_n_months,post_start,post_end,post_sharpe,post_n_months,full_sharpe,full_n_months,reported_return_monthly_pct,reported_tstat,reported_sharpe_annualized
RDS,2011,1976,2003,1976-01-01,2003-12-31,0.7422680947039358,336,2012-01-01,2024-12-31,-0.18285604742706726,156,0.3147494021776331,618,0.333333333,5.84,1.1036562611869434
RealizedVol,2006,1963,2000,1963-01-01,2000-12-31,0.42390100489663546,456,2007-01-01,2024-12-31,0.02482213033222882,216,0.20821989385438291,1181,0.97,2.86,0.4639532644339808
Recomm_ShortInterest,2011,1994,2006,1994-01-01,2006-12-31,0.8082308902317803,156,2012-01-01,2024-12-31,0.3174315127390143,156,0.49710596075911684,373,1.11,4.09,1.1343619012805934
ResidualMomentum,2011,1930,2009,1930-01-01,2009-12-31,0.9186263663265648,955,2012-01-01,2024-12-31,0.3557101232752323,156,0.843183093640436,1135,0.933333333,8.218550486,0.9212641355362254
retConglomerate,2012,1977,2009,1977-01-01,2009-12-31,1.1577209294769502,396,2013-01-01,2024-12-31,0.31212874605762897,144,0.9261648841955539,587,1.18,5.51,0.9591678843158951
ReturnSkew,2015,1963,2012,1963-01-01,2012-12-31,0.7459639750864641,600,2016-01-01,2024-12-31,0.4280055403652398,108,0.8000722225686081,1187,0.47,4.01,0.567099638511611
ReturnSkew3F,2015,1963,2012,1963-01-01,2012-12-31,0.6178500605587965,600,2016-01-01,2024-12-31,0.39939099894798263,108,0.7172083892437883,1181,0.45,4.35,0.6151828996322963
REV6,1996,1977,1992,1977-01-01,1992-12-31,2.216457363544564,192,1997-01-01,2024-12-31,0.5939502090905514,336,1.0359214674768482,580,,4.07,1.0175
RevenueSurprise,2006,1987,2003,1987-01-01,2003-12-31,1.392172678867736,204,2007-01-01,2024-12-31,0.650194453979095,216,1.073684579310251,739,,,
RIO_Disp,2005,1980,2003,1980-01-01,2003-12-31,0.5359074627757509,288,2006-01-01,2024-12-31,0.42757716223638964,228,0.5525243281126003,587,0.54,2.47,0.5041866387228708
RIO_MB,2005,1980,2003,1980-01-01,2003-12-31,0.7487200955988957,288,2006-01-01,2024-12-31,0.0996733937243279,228,0.49680021705300453,741,1.07,4.91,1.0022495530887838
RIO_Turnover,2005,1980,2003,1980-01-01,2003-12-31,0.5619090432452875,288,2006-01-01,2024-12-31,0.42798104862833314,228,0.2439369740799926,1180,0.92,2.71,0.5531764335785344
RIO_Volatility,2005,1980,2003,1980-01-01,2003-12-31,0.8462902278261446,288,2006-01-01,2024-12-31,0.7256807169817602,228,0.33422385157721424,1179,1.07,4.38,0.89406375611586
RIVolSpread,2009,1996,2004,1996-01-01,2004-12-31,0.724229877126333,107,2010-01-01,2024-12-31,0.15607260218360727,157,0.4178709274329711,324,0.732,2.9,0.9711732956035487
roaq,2010,1976,2005,1976-01-01,2005-12-31,1.0168508728219634,360,2011-01-01,2024-12-31,0.7818289812959662,168,0.743796097150891,702,0.841666667,6.45,1.1776034986361072
sfe,2001,1982,1998,1982-01-01,1998-12-31,0.6523808042360876,204,2002-01-01,2024-12-31,0.3915952702996058,276,0.30540408895500176,573,1.466666667,4.99,1.2102527689313014
ShareIss1Y,2008,1970,2003,1970-01-01,2003-12-31,0.7510726976778374,408,2009-01-01,2024-12-31,0.6478776387752008,192,0.6214933940769234,1170,,7.08,1.2142099828089625
ShareIss5Y,2006,1968,2003,1968-01-01,2003-12-31,0.5898117603945572,432,2007-01-01,2024-12-31,0.7785398658977226,216,0.5207913242456929,1122,,4.39,0.7316666666666666
ShareVol,1998,1962,1991,1962-01-01,1991-12-31,0.7166450227080485,360,1999-01-01,2024-12-31,0.05620767716899991,312,0.35346791815720935,1176,,8.86,1.6176072864985904
Size,1981,1926,1975,1926-01-01,1975-12-31,0.3714724030764499,594,1982-01-01,2024-12-31,0.05098229041445052,516,0.2798529743222777,1182,1.01,3.07,0.4363507994744826
SmileSlope,2011,1996,2005,1996-01-01,2005-12-31,2.5871504140927133,119,2012-01-01,2024-12-31,1.5504624951516501,133,2.0761037801516378,324,1.8,8.168,2.593778412621539
std_turn,2001,1966,1995,1966-01-01,1995-12-31,0.6007737948570105,360,2002-01-01,2024-12-31,-0.015214362656670739,276,0.2762362700572053,1164,,3.74,0.6828274550231072
STreversal,1990,1934,1987,1934-01-01,1987-12-31,1.9335979125969038,648,1991-01-01,2024-12-31,0.71566651764782,408,1.4026884412821283,1187,1.99,12.44,1.6928695777901517
SurpriseRD,2004,1974,2001,1974-01-01,2001-12-31,0.5758368309651031,336,2005-01-01,2024-12-31,-0.05900256487472278,240,0.12988665423034085,874,0.294,3.540083799,0.669012953748769
tang,2009,1973,2001,1973-01-01,2001-12-31,0.6817087332662789,348,2010-01-01,2024-12-31,-0.08168221318174093,180,0.318276346961452,888,,3.37,0.6257932896566647
Tax,2004,1973,2000,1973-01-01,2000-12-31,0.6525506782937839,336,2005-01-01,2024-12-31,0.713642589489075,240,0.6156880261833367,882,,3.851,0.7277705927792669
TotalAccruals,2005,1962,2001,1962-01-01,2001-12-31,0.4179001878579004,480,2006-01-01,2024-12-31,0.02337979672111321,228,0.3846666964935048,870,,6.38,1.0087665735937128
TrendFactor,2016,1930,2014,1930-01-01,2014-12-31,1.4487659014752514,1020,2017-01-01,2024-12-31,0.16826024959869648,96,1.3772245698593946,1186,1.63,15.0,1.6269784336399213
