mechanism,n,mean_long_post_sharpe,mean_short_post_sharpe,mean_long_decay_diff,mean_short_decay_diff,mean_ls_decay_diff,mean_short_minus_long_decay
behavioral,57,0.5339416611997035,-0.46051102175384767,-0.2247061256122702,0.11668229722293177,-0.3341427534631352,0.341388422835202
mispricing,82,0.4458772029751532,-0.45240140082745256,-0.2033126813242455,0.20365035696869174,0.024330456253846673,0.40696303829293723
risk_premium,69,0.5287082189283204,-0.498100990233144,-0.1446121542912995,0.1801780291307419,0.10253398598852909,0.3247901834220414
