mechanism,n,mean_is_sharpe,mean_post_sharpe,mean_oos_sharpe,mean_is_minus_oos,median_oos_sharpe,frac_oos_positive,frac_oos_above_03
behavioral,57,1.007863437798405,0.32487807101196614,0.30542306590934015,0.7024403718890649,0.3336216616801251,0.7719298245614035,0.543859649122807
mispricing,82,0.7631456456525756,0.3414891465838256,0.32053996610988034,0.44260567954269525,0.3713219075244365,0.7682926829268293,0.573170731707317
risk_premium,68,0.6622509328661101,0.24101874450676597,0.23658208180375914,0.4256688510623509,0.16510067254182856,0.6176470588235294,0.4411764705882353
