group_a,group_b,n_a,n_b,observed_diff,boot_ci_lo,boot_ci_hi,boot_p_two_sided
behavioral,mispricing,57,82,-0.26132886771768904,-0.4282894732027205,-0.10250959694972216,0.0026
behavioral,risk_premium,57,69,-0.2543599401864125,-0.4171936272312113,-0.10281007211473464,0.0028
mispricing,risk_premium,82,69,0.006968927531276536,-0.1123361745904711,0.12770035924767167,0.9036
