ensemble_label,n,mean_dsr,median_dsr,frac_robust
behavioral,57,0.36154097547571973,0.11041135288686293,0.21052631578947367
mispricing,85,0.23869767319144625,0.08867610250231428,0.07058823529411765
risk_premium,70,0.20278768189975546,0.006845677474135835,0.07142857142857142
