aum_usd,mechanism,n_factors,n_viable,mean_capacity_sharpe,median_capacity_sharpe,mean_total_cost_bps,viable_pct
100000000.0,behavioral,57,2,-0.29536571498707076,-0.27215742699849343,642.3425660534183,0.03508771929824561
100000000.0,mispricing,82,7,-0.31434169868266315,-0.23696392904083496,629.3209992257174,0.08536585365853659
100000000.0,risk_premium,69,4,-0.37253840948877304,-0.34102259340433483,652.573661285053,0.057971014492753624
1000000000.0,behavioral,57,2,-0.37681664574844764,-0.36196656019467555,732.7467347645982,0.03508771929824561
1000000000.0,mispricing,82,3,-0.38021733108496625,-0.2957975579422225,694.1769364432838,0.036585365853658534
1000000000.0,risk_premium,69,4,-0.43082586032782155,-0.4119431493368835,715.6183403333838,0.057971014492753624
10000000000.0,behavioral,57,0,-0.6765975564490747,-0.6057654677550556,1069.7140815868145,0.0
10000000000.0,mispricing,82,3,-0.6150767289381329,-0.5102958123525032,926.6109678669299,0.036585365853658534
10000000000.0,risk_premium,69,1,-0.6391723306630148,-0.5941495449985563,941.5574824157477,0.014492753623188406
100000000000.0,behavioral,57,0,-2.046692552842638,-1.814926171345781,2646.141031856508,0.0
100000000000.0,mispricing,82,1,-1.6231909276287928,-1.4736762271900592,1935.047413213326,0.012195121951219513
100000000000.0,risk_premium,69,0,-1.5382753861660068,-1.2367627033834516,1921.783403333838,0.0
100000000.0,ALL,208,13,-0.32844718894695557,-0.270443348155295,640.6030328376073,0.0625
1000000000.0,ALL,208,9,-0.3960738188425405,-0.3223988755170974,711.859318042956,0.04326923076923077
10000000000.0,ALL,208,4,-0.6399290543570779,-0.5606912440853019,970.7849437606887,0.019230769230769232
100000000000.0,ALL,208,1,-1.7110775635723359,-1.4935695460035778,2125.514334275714,0.004807692307692308
