mechanism,n,point,ci_lo,ci_hi
behavioral,57,-0.682985366786439,-0.8268341797236184,-0.5510469019863691
mispricing,82,-0.4216564990687499,-0.5101358633559069,-0.3361714632084251
risk_premium,69,-0.42862542660002645,-0.5173411591504364,-0.3400323484303457
