mechanism,yspub_bin,mean,median,count
behavioral,-25,0.9553427827769738,0.9201272443303714,1760
behavioral,-24,1.094752351324243,1.1065281613142117,44
behavioral,-23,1.0365934018696015,1.0028723879713668,44
behavioral,-22,1.7269331785195277,1.4354790359915643,46
behavioral,-21,1.128103658395383,1.058458212593922,47
behavioral,-20,1.2290204157715159,1.304097696265145,47
behavioral,-19,1.2148861304315728,0.974674539245383,48
behavioral,-18,0.9921965686861722,1.375959013753726,48
behavioral,-17,1.3651911997657067,1.3958147518449247,48
behavioral,-16,1.2126381348081203,1.0554855626824022,49
behavioral,-15,1.135938895083298,0.9768619416510225,50
behavioral,-14,1.1043430905318874,0.8247017477915881,51
behavioral,-13,1.586104853214976,1.3920776040720266,51
behavioral,-12,1.0180615113727554,0.9215921133387239,51
behavioral,-11,1.2292920138183019,0.9027477700983947,51
behavioral,-10,0.9196482916080321,0.946195664190875,53
behavioral,-9,1.010785102936477,1.0062321814201483,53
behavioral,-8,0.6646532996543161,0.7926836105057007,54
behavioral,-7,1.3834354701749991,1.230024992657318,57
behavioral,-6,1.2320587531700427,1.294085435735835,57
behavioral,-5,0.8026743772911988,0.6109263992229639,57
behavioral,-4,1.4997322843285168,1.3543243855396516,57
behavioral,-3,1.091922839426213,1.2305939670324433,57
behavioral,-2,0.7273256481574798,0.6366114571131737,57
behavioral,-1,0.9016511551528728,1.0096698368075514,57
behavioral,0,0.8134587327702802,0.3963414223998344,57
behavioral,1,0.7731722839599566,0.7785825559272673,57
behavioral,2,0.5991182279219633,0.5421146786090044,57
behavioral,3,0.550403617079064,0.42445460355051284,57
behavioral,4,0.8591406301749402,0.9054955087911102,57
behavioral,5,0.2974452591893107,0.29745787535708845,57
behavioral,6,0.8670665534738788,0.7398629821899626,57
behavioral,7,0.731460848235356,0.6052826512172638,57
behavioral,8,0.49711822813307105,0.17798481463865884,57
behavioral,9,0.3039336749129998,0.16014755081670065,56
behavioral,10,0.5144411316935391,0.4788530155275552,54
behavioral,11,0.6992985383846468,0.41700417216870167,54
behavioral,12,0.3581397962252806,0.32025689767764487,52
behavioral,13,0.42083299136189223,0.5146265224144596,49
behavioral,14,0.6786719283146045,0.7657830495922502,46
behavioral,15,0.4661053508310993,0.6430920418116955,44
behavioral,16,0.19928279839599838,0.20649117231862507,43
behavioral,17,0.2608678122854588,-0.029078143551858577,31
behavioral,18,0.7948135725159583,1.060401831989858,29
behavioral,19,-0.11625697476707728,0.011200649810635191,26
behavioral,20,0.8693965251055359,0.8737125572189359,23
behavioral,21,0.826603287690417,0.5078365468209172,21
behavioral,22,-0.06741563766695917,-0.2068275827728869,21
behavioral,23,0.4020925386394074,0.2935034993149032,19
behavioral,24,0.2102147915119971,0.1657227915831326,16
behavioral,25,0.2759528083298498,0.28022333737036303,117
mispricing,-25,0.4984517475072272,0.5052973711829467,1800
mispricing,-24,0.9978085781172699,1.0110413443530417,71
mispricing,-23,1.164159235525644,1.3450889064475267,73
mispricing,-22,1.5416455215996216,1.4749043785541422,74
mispricing,-21,1.0108146492460834,1.0065607296656172,74
mispricing,-20,0.9342858010646261,0.8909730978088177,74
mispricing,-19,0.9946390297338001,0.993066941019618,75
mispricing,-18,1.1128520166068845,0.8524495009125115,78
mispricing,-17,1.0834427505896735,1.0550311730289132,79
mispricing,-16,0.8690322148621651,0.866855181442257,81
mispricing,-15,0.6858270655292356,0.7718934791536912,81
mispricing,-14,1.0501228943984453,0.8593642173662722,81
mispricing,-13,1.0286724653313535,1.0285100084502603,82
mispricing,-12,1.1814476921524086,1.0880538555453212,82
mispricing,-11,1.0108897079083836,0.8431813492552763,82
mispricing,-10,0.9618055171816451,0.7777083047893183,82
mispricing,-9,1.1169608018044483,1.0071861407685128,82
mispricing,-8,0.687276100623914,0.6322974183341715,82
mispricing,-7,0.3454042390825048,0.41688809678262256,82
mispricing,-6,0.719321467069474,0.5786978236054117,82
mispricing,-5,0.7954004549174976,0.6932900308296619,82
mispricing,-4,0.6766824461453804,0.6483045190220915,82
mispricing,-3,0.5286007647902436,0.46096161463798135,82
mispricing,-2,0.8182253379601989,0.7476101933068013,82
mispricing,-1,0.5820926504332198,0.3626602623032996,82
mispricing,0,0.3760258546835194,0.46240419277056977,82
mispricing,1,0.42216479183294975,0.4836709262681069,82
mispricing,2,0.6099630639570666,0.783583595663652,82
mispricing,3,0.34925944199293146,0.42901131250794494,82
mispricing,4,0.1998131264427339,0.20451835879415942,82
mispricing,5,0.6631876138445424,0.6953481032785396,82
mispricing,6,0.42883391995357095,0.5806032075942119,82
mispricing,7,0.47802787617070186,0.41869913084829224,82
mispricing,8,0.5135623910194931,0.4445357940386716,82
mispricing,9,0.46067320618598145,0.584069775631761,78
mispricing,10,0.6665798466559093,0.5897165978127135,78
mispricing,11,0.3207583372941588,0.26599916722065575,77
mispricing,12,0.22442359917348373,0.24952257436254965,74
mispricing,13,0.3111875378629984,0.3033465901895428,72
mispricing,14,0.1346204301656824,0.1192128789081989,66
mispricing,15,0.4973678607562598,0.6357291571752286,66
mispricing,16,0.6862077736790679,0.8428446504614119,64
mispricing,17,0.5203666528174076,0.4118310998671417,60
mispricing,18,0.36299164153913027,0.4268544369615824,57
mispricing,19,0.17305213931533112,-0.048231291837865994,43
mispricing,20,0.24242302755889827,0.2364390433769603,32
mispricing,21,-0.02927976564967516,0.0877515945494695,24
mispricing,22,0.09232560240785201,-0.03403985744750624,21
mispricing,23,0.08637563670408649,-0.2293910561380057,21
mispricing,24,-0.23381385217185463,-0.5147559447380887,16
mispricing,25,0.1409610235826034,0.19727019962306597,60
risk_premium,-25,0.4528784987962811,0.473681533346543,1721
risk_premium,-24,0.5342369599281676,0.3992618881517555,63
risk_premium,-23,0.7302924019865296,0.7988598561570557,63
risk_premium,-22,0.7111034666720146,0.6749046876802484,63
risk_premium,-21,0.4230745107772931,0.3837788878181239,63
risk_premium,-20,0.5582985557558531,0.39650985083254287,64
risk_premium,-19,0.7202184257466862,0.7883438747613702,64
risk_premium,-18,0.5123439119873707,0.5866879057299297,64
risk_premium,-17,0.8272206537741328,0.4817543170843457,64
risk_premium,-16,0.8773082187705238,0.9989658590824211,64
risk_premium,-15,1.252734487864761,1.1585008460418194,65
risk_premium,-14,0.9402425036180869,0.6997313210189935,66
risk_premium,-13,0.5904813768903461,0.5805248670951644,68
risk_premium,-12,1.0537657454926284,1.1357736661043178,68
risk_premium,-11,1.0140302613832848,1.0656024051791722,68
risk_premium,-10,0.68400309196644,0.7276399455555768,68
risk_premium,-9,0.9177532138216353,0.8714904536681987,68
risk_premium,-8,1.0515012470922864,1.110312570200309,69
risk_premium,-7,0.4688704140070306,0.3907498846985473,69
risk_premium,-6,0.7186085036965365,0.8074436609221408,69
risk_premium,-5,0.7397685792382617,0.7802312663687229,69
risk_premium,-4,0.8907662638767171,0.8467319262771387,69
risk_premium,-3,0.34208585857944146,0.4419241629281893,69
risk_premium,-2,0.5792317635152282,0.599760867961886,69
risk_premium,-1,0.23634544005716998,0.05796836704509865,69
risk_premium,0,0.276536300413447,0.24251916007600843,69
risk_premium,1,0.38094401512681875,0.37280006283156975,69
risk_premium,2,0.716611254869077,0.7526911032256705,69
risk_premium,3,-0.12480596775189706,-0.37070574321943867,69
risk_premium,4,0.4798351668474888,0.49766655549435895,69
risk_premium,5,0.5891589194575872,0.6147176463371841,69
risk_premium,6,0.47437132210237654,0.3714465799625407,69
risk_premium,7,0.3441731645556965,0.39658146483563217,69
risk_premium,8,0.30974497910802834,0.5372682216444987,69
risk_premium,9,0.27090070117545806,0.26493379358534147,67
risk_premium,10,0.2070519876159477,-0.06205074267375291,67
risk_premium,11,0.22906544470387527,0.1388041853285345,63
risk_premium,12,0.1470436609652838,-0.011340988356075261,58
risk_premium,13,0.23202926070821245,0.15772104332580805,56
risk_premium,14,0.37865523158896514,0.4952369437816732,52
risk_premium,15,0.11258899986231294,-0.041943345615054646,49
risk_premium,16,0.14471570178175122,-0.010266661240435144,47
risk_premium,17,0.14055221324444858,-0.21909334253600557,44
risk_premium,18,0.23016599788169834,0.11433879699768615,40
risk_premium,19,0.0836123397459985,-0.06945615985771018,29
risk_premium,20,0.43277546906409026,0.23881010264631905,27
risk_premium,21,-0.016282318188558145,-0.22025639009717704,26
risk_premium,22,0.39623712113207055,-0.002407199703768112,24
risk_premium,23,0.5191732802432122,0.003884207112022555,22
risk_premium,24,0.43943152255648954,0.5100418165137437,19
risk_premium,25,0.09946958629123298,0.05164638274721855,225
