mechanism,n_factors,n_with_diff,n_with_ratio,mean_is_sharpe,mean_post_sharpe,mean_decay_diff,median_decay_diff,sd_decay_diff,mean_decay_ratio,median_decay_ratio
behavioral,57,57,57,1.0078634377984053,0.3248780710119661,-0.682985366786439,-0.5460680202957037,0.5327650056520232,0.3014672549181135,0.35124838939686065
mispricing,82,82,81,0.7631456456525755,0.34148914658382556,-0.4216564990687499,-0.4052915436593349,0.4014919974729072,0.49813694151594023,0.3764380944959534
risk_premium,69,69,66,0.6680974579462527,0.23947203134622633,-0.42862542660002645,-0.38503474173460395,0.3717180363766675,0.31536894706444907,0.35816165331870353
